#1,,,,,,,,,,#2,,,,,,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,,Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá
,,642112,430200,Salary&wages,給与,保険料,Management Expenses - Employees - Insurance,Chi phí nhân viên quản lý - Nhân viên - Bảo hiểm,,,,63233,410300,cost of market research,,,,,
,,642113,430200,Salary&wages,給与,労働組合費,Management Expenses - Employees - Union fee,Chi phí nhân viên quản lý - Nhân viên - KPCĐ,,635,,,,0,0,財務費用,Financial activities expenses,Chi phí tài chính,
,,642114,430200,Salary&wages,給与,税金,Management Expenses - Employees - Tax,Chi phí nhân viên quản lý - Nhân viên - Thuế,,,6351,,460500,Foreign exchange losses,#N/A,発生取引の為替差損,Losses of Exchange Rate Differences Arising in Current Period,Chênh lệch lỗ tỷ giá phát sinh trong kỳ,
,,642115,430300,Bonuses,賞与金,ボーナス,Management Expenses - Employees - Bonus,Chi phí nhân viên quản lý - Nhân viên - Tiền thưởng,,,6352,,460100,Interest paid,#N/A,借入利息,Interest Expenses,Chi phí lãi vay,
,,642116,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng - Nhân viên VN,,,6353,,460500,Foreign exchange losses,#N/A,為替再評価差損,Losses from Exchange Rate Revaluation,Lỗ chênh lệch tỷ giá do đánh giá lại,
,,642117,430200,Salary&wages,給与,給与,Management Expenses - Employees - Business trip allowance,Trợ cấp công tác phí - Nhân viên VN,,641,,,431000,Sales miscellaneous expense,雑費(振込手数料等),販売費,Selling expenses,Chi phí bán hàng,
,,64212,,0,0,日本人の管理者,Management Expenses - Manager,Chi phí nhân viên quản lý - Quản lý người Nhật,,,,,,,0,,Souvenir to Japan,,
,,642121,430200,Salary&wages,給与,給与,Management Expenses - Manager - Salary,Chi phí nhân viên quản lý - Quản lý người Nhật - Lương,,642,,,,0,0,一般管理費,General & administration expenses,Chi phí quản lý doanh nghiệp,
,,642122,430200,Salary&wages,給与,保険料,Management Expenses - Manager - Insurance,Chi phí nhân viên quản lý - Quản lý người Nhật - Bảo hiểm,,,6421,,,0,0,管理部門給与,Office salaries,Chi phí nhân viên quản lý,
,,642123,430200,Salary&wages,給与,労働組合費,Management Expenses - Manager - Union fee,Chi phí nhân viên quản lý - Quản lý người Nhật - KPCĐ,,,,64211,,0,0,従業員,Management Expenses - Employees,Chi phí nhân viên quản lý - Nhân viên,
,,642124,430200,Salary&wages,給与,税金,Management Expenses - Manager - Tax,Chi phí nhân viên quản lý - Quản lý người Nhật - Thuế,,,,642111,430200,Salary&wages,給与,給与,Management Expenses - Employees - Salary,Chi phí nhân viên quản lý - Nhân viên - Lương,
,,642125,430300,Bonuses,賞与金,ボーナス,Management Expenses - Manager - Bonus,Chi phí nhân viên quản lý - Quản lý người Nhật - Tiền thưởng,,,,642112,430200,Salary&wages,給与,保険料,Management Expenses - Employees - Insurance,Chi phí nhân viên quản lý - Nhân viên - Bảo hiểm,
,,642126,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng Quản lý người Nhật,,,,642113,430200,Salary&wages,給与,労働組合費,Management Expenses - Employees - Union fee,Chi phí nhân viên quản lý - Nhân viên - KPCĐ,
,,642127,430200,Salary&wages,給与,出張手当,Management Expenses - Manager - business trip allowance,Chi phí nhân viên quản lý_Quản lý NN_Phụ cấp công tác phí,,,,642114,430200,Salary&wages,給与,税金,Management Expenses - Employees - Tax,Chi phí nhân viên quản lý - Nhân viên - Thuế,
,,64213,430900,Welfare expense,福利厚生費,アパートレンタル料,Expense for apartment rental fees_JPs staff,Chi phí thuê nhà cho người nước ngoài,,,,642115,430300,Bonuses,賞与金,ボーナス,Management Expenses - Employees - Bonus,Chi phí nhân viên quản lý - Nhân viên - Tiền thưởng,
,,64214,430900,Welfare expense,福利厚生費,外国人の子供の学費,Tuition for foreigner's children,Học phí cho con người nước ngoài,,,,642116,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng - Nhân viên VN,
,,64218,430900,Welfare expense,福利厚生費,福利費用,Welfare expense for staff,Chi phí phúc lợi cho nhân viên,,,,642117,430200,Salary&wages,給与,給与,Management Expenses - Employees - Business trip allowance,Trợ cấp công tác phí - Nhân viên VN,
,6422,,,0,0,事務用品費,Indirect materials,Chi phí vật liệu quản lý,,,,64212,,0,0,日本人の管理者,Management Expenses - Manager,Chi phí nhân viên quản lý - Quản lý người Nhật,
,6423,,431700,Supplies expense,消耗品費,消耗工具備品費,Office supplies,Chi phí đồ dùng văn phòng,,,,642121,430200,Salary&wages,給与,給与,Management Expenses - Manager - Salary,Chi phí nhân viên quản lý - Quản lý người Nhật - Lương,
,6424,,432000,Depreciation expense,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,,,,642122,430200,Salary&wages,給与,保険料,Management Expenses - Manager - Insurance,Chi phí nhân viên quản lý - Quản lý người Nhật - Bảo hiểm,
,6425,,431900,Taxes and dues,租税公課,租税公課,"Taxes, fees and charges","Thuế, phí và lệ phí",,,,642123,430200,Salary&wages,給与,労働組合費,Management Expenses - Manager - Union fee,Chi phí nhân viên quản lý - Quản lý người Nhật - KPCĐ,
,6426,,,0,0,引当金,Expenses from provisions,Chi phí dự phòng,,,,642124,430200,Salary&wages,給与,税金,Management Expenses - Manager - Tax,Chi phí nhân viên quản lý - Quản lý người Nhật - Thuế,
,6427,,,0,0,外部用役費,Services rendered by outsiders,Chi phí dịch vụ mua ngoài,,,,642125,430300,Bonuses,賞与金,ボーナス,Management Expenses - Manager - Bonus,Chi phí nhân viên quản lý - Quản lý người Nhật - Tiền thưởng,
,,64271,432400,Rent expense,家賃地代,事務所レンタル料,Office rental fee,Chi phí thuê văn phòng,,,,642126,430400,Provision for bonuses,賞与引当金繰入,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng Quản lý người Nhật,
,,64272,431600,Utilities expense,水道光熱費,電話・インターネット・電気代,"Electricity, water,…","Tiền điện, nước,... (quản lý)",,,,642127,430200,Salary&wages,給与,出張手当,Management Expenses - Manager - business trip allowance,Chi phí nhân viên quản lý_Quản lý NN_Phụ cấp công tác phí,
,,64273,431500,Communication expense,通信費,電気通信料金,Telecommunications,"Dịch vụ viễn thông (điện thoại, internet, card...)",,,,64213,430900,Welfare expense,福利厚生費,アパートレンタル料,Expense for apartment rental fees_JPs staff,Chi phí thuê nhà cho người nước ngoài,
